Welcome to PlayZ TV | Welcome to PlayZ TV | New App | https://playztv.pages.dev/promo/master.m3u8
India In Action - Athletics - 25 Sep 2026 [ENG] - 20th Asian Games Aichi-Nagoya 2026 | Live Event | https://sonydaimenew.akamaized.net/hls/live/2120306/AG_Strea2409/ENG/std_lrh-800300010.m3u8?hdnea=exp%3D1790379807~acl%3D%2F%2A~id%3D55461394537217499746677676737531~hmac%3D07a94103d52bcdc44f153342bc17d324aae1bf276cf1103bb5e8e38d8e8b08af
India In Action - Athletics - 25 Sep 2026 [TAM] - 20th Asian Games Aichi-Nagoya 2026 | Live Event | https://sonydaimenew.akamaized.net/hls/live/2120304/AG_Strea2409/TAM/std_lrh-800300010.m3u8?hdnea=exp%3D1790379807~acl%3D%2F%2A~id%3D55461394537217499746677676737531~hmac%3D07a94103d52bcdc44f153342bc17d324aae1bf276cf1103bb5e8e38d8e8b08af
India In Action - Athletics - 25 Sep 2026 [TEL] - 20th Asian Games Aichi-Nagoya 2026 | Live Event | https://sonydaimenew.akamaized.net/hls/live/2120303/AG_Strea2409/TEL/std_lrh-800300010.m3u8?hdnea=exp%3D1790379807~acl%3D%2F%2A~id%3D55461394537217499746677676737531~hmac%3D07a94103d52bcdc44f153342bc17d324aae1bf276cf1103bb5e8e38d8e8b08af
India In Action - Athletics - 25 Sep 2026 [KAN] - 20th Asian Games Aichi-Nagoya 2026 | Live Event | https://sonydaimenew.akamaized.net/hls/live/2120305/AG_Strea2409/KAN/std_lrh-800300010.m3u8?hdnea=exp%3D1790379807~acl%3D%2F%2A~id%3D55461394537217499746677676737531~hmac%3D07a94103d52bcdc44f153342bc17d324aae1bf276cf1103bb5e8e38d8e8b08af
Day 1 - Session 1 - 25 Sep 2026 [ENG] - Laver Cup 2026 | Live Event | https://sonydaimenew.akamaized.net/hls/live/2022322/tennisli2509/ENG/std_lrh-800300010.m3u8?hdnea=exp%3D1790379807~acl%3D%2F%2A~id%3D55461394537217499746677676737531~hmac%3D07a94103d52bcdc44f153342bc17d324aae1bf276cf1103bb5e8e38d8e8b08af
Ekushey TV | Akash Go | http://210.4.72.204/hls-live/livepkgr/_definst_/liveevent/livestream3.m3u8
Deepto TV | Akash Go | https://byphdgllyk.gpcdn.net/hls/deeptotv/0_1/index.m3u8
Deshe Bideshe | BANGLA | https://dbcanada.sonarbanglatv.com/deshebideshe/dbtv/index.m3u8
BBC News | Akash Go | https://cdn4.skygo.mn/live/disk1/BBC_News/HLSv3-FTA/BBC_News-avc1_3000000=8-mp4a_208000_eng=2.m3u8
MUSIC BANGLA | Bangla | http://live.matribhumitv.com/music-bangla/index.m3u8
MY TV | Bangla | https://mytvbangla.com/0.m3u8
MAASRANGA HD | Bangla | http://mtv.sunplex.live/MAASRANGA-TV/index.m3u8
